C00,"Malignant neoplasm of lip"
D46A,"Refractory cytopenia with multilineage dysplasia"
D46B,"Refractory cytopenia with multilineage dysplasia and ring sideroblasts"
D46C,"Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality"
D464,"Refractory anemia, unspecified"
D46Z,"Other myelodysplastic syndromes"
D469,"Myelodysplastic syndrome, unspecified"
D47,"Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
D470,"Mast cell neoplasms of uncertain behavior"
D471,"Chronic myeloproliferative disease"
D472,"Monoclonal gammopathy"
D473,"Essential (hemorrhagic) thrombocythemia"
D474,"Osteomyelofibrosis"
D47Z,"Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
D479,"Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified"
D48,"Neoplasm of uncertain behavior of other and unspecified sites"
D486,"Neoplasm of uncertain behavior of breast"
D487,"Neoplasm of uncertain behavior of other specified sites"
D489,"Neoplasm of uncertain behavior, unspecified"
D49,"Neoplasms of unspecified behavior"
D495,"Neoplasm of unspecified behavior of other genitourinary organs"
D4951,"Neoplasm of unspecified behavior of kidney"
D4959,"Neoplasm of unspecified behavior of other genitourinary organ"
D496,"Neoplasm of unspecified behavior of brain"
D497,"Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system"
D498,"Neoplasm of unspecified behavior of other specified sites"
D499,"Neoplasm of unspecified behavior of unspecified site"
D50,"Iron deficiency anemia"
D51,"Vitamin B12 deficiency anemia"
D52,"Folate deficiency anemia"
D53,"Other nutritional anemias"
D55,"Anemia due to enzyme disorders"
D56,"Thalassemia"
D57,"Sickle-cell disorders"
D570,"Hb-SS disease with crisis"
D571,"Sickle-cell disease without crisis"
D572,"Sickle-cell/Hb-C disease"
D5721,"Sickle-cell/Hb-C disease with crisis"
D573,"Sickle-cell trait"
D574,"Sickle-cell thalassemia"
D5741,"Sickle-cell thalassemia with crisis"
D578,"Other sickle-cell disorders"
D5781,"Other sickle-cell disorders with crisis"
D58,"Other hereditary hemolytic anemias"
D59,"Acquired hemolytic anemia"
D60,"Acquired pure red cell aplasia [erythroblastopenia]"
D61,"Other aplastic anemias and other bone marrow failure syndromes"
D610,"Constitutional aplastic anemia"
D611,"Drug-induced aplastic anemia"
D612,"Aplastic anemia due to other external agents"
D613,"Idiopathic aplastic anemia"
D618,"Other specified aplastic anemias and other bone marrow failure syndromes"
D6181,"Pancytopenia"
D6182,"Myelophthisis"
D6189,"Other specified aplastic anemias and other bone marrow failure syndromes"
D619,"Aplastic anemia, unspecified"
D62,"Acute posthemorrhagic anemia"
D63,"Anemia in chronic diseases classified elsewhere"
D64,"Other anemias"
D648,"Other specified anemias"
D649,"Anemia, unspecified"
D65,"Disseminated intravascular coagulation [defibrination syndrome]"
D66,"Hereditary factor VIII deficiency"
D67,"Hereditary factor IX deficiency"
D68,"Other coagulation defects"
D683,"Hemorrhagic disorder due to circulating anticoagulants"
D6831,"Hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
D6832,"Hemorrhagic disorder due to extrinsic circulating anticoagulants"
D684,"Acquired coagulation factor deficiency"
D685,"Primary thrombophilia"
D686,"Other thrombophilia"
D688,"Other specified coagulation defects"
D689,"Coagulation defect, unspecified"
D69,"Purpura and other hemorrhagic conditions"
D694,"Other primary thrombocytopenia"
D695,"Secondary thrombocytopenia"
D696,"Thrombocytopenia, unspecified"
D698,"Other specified hemorrhagic conditions"
D699,"Hemorrhagic condition, unspecified"
D70,"Neutropenia"
D71,"Functional disorders of polymorphonuclear neutrophils"
D72,"Other disorders of white blood cells"
D728,"Other specified disorders of white blood cells"
D7281,"Decreased white blood cell count"
D7282,"Elevated white blood cell count"
D7289,"Other specified disorders of white blood cells"
D729,"Disorder of white blood cells, unspecified"
D73,"Diseases of spleen"
D738,"Other diseases of spleen"
D739,"Disease of spleen, unspecified"
D74,"Methemoglobinemia"
D75,"Other and unspecified diseases of blood and blood-forming organs"
D758,"Other specified diseases of blood and blood-forming organs"
D759,"Disease of blood and blood-forming organs, unspecified"
D76,"Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue"
D77,"Other disorders of blood and blood-forming organs in diseases classified elsewhere"
D78,"Intraoperative and postprocedural complications of the spleen"
D780,"Intraoperative hemorrhage and hematoma of the spleen complicating a procedure"
D781,"Accidental puncture and laceration of the spleen during a procedure"
D782,"Postprocedural hemorrhage of the spleen following a procedure"
D783,"Postprocedural hematoma and seroma of the spleen following a procedure"
D788,"Other intraoperative and postprocedural complications of the spleen"
D80,"Immunodeficiency with predominantly antibody defects"
D81,"Combined immunodeficiencies"
D818,"Other combined immunodeficiencies"
D8181,"Biotin-dependent carboxylase deficiency"
D8189,"Other combined immunodeficiencies"
D819,"Combined immunodeficiency, unspecified"
D82,"Immunodeficiency associated with other major defects"
D83,"Common variable immunodeficiency"
D84,"Other immunodeficiencies"
D86,"Sarcoidosis"
D868,"Sarcoidosis of other sites"
D869,"Sarcoidosis, unspecified"
D89,"Other disorders involving the immune mechanism, not elsewhere classified"
D894,"Mast cell activation syndrome and related disorders"
D898,"Other specified disorders involving the immune mechanism, not elsewhere classified"
D8981,"Graft-versus-host disease"
D8982,"Autoimmune lymphoproliferative syndrome [ALPS]"
D8989,"Other specified disorders involving the immune mechanism, not elsewhere classified"
D899,"Disorder involving the immune mechanism, unspecified"
